time,ref_x,ref_y,actual_x,actual_y,error_x,error_y
2.384185791015625e-07,0.4999999999999944,7.49014056584783e-08,0.0,0.0,0.4999999999999944,7.49014056584783e-08
0.020186901092529297,0.49995978081801123,0.006341731972117239,0.0,0.0,0.49995978081801123,0.006341731972117239
0.0447535514831543,0.4998023366557912,0.014057890076791719,0.0,0.0,0.4998023366557912,0.014057890076791719
0.06008553504943848,0.49964372280214475,0.01887194384300579,0.0,0.0,0.49964372280214475,0.01887194384300579
0.08007693290710449,0.4993672633553472,0.02514629771937288,0.0,0.0,0.4993672633553472,0.02514629771937288
0.10006856918334961,0.4990120111399744,0.03141675887226571,0.0,0.0,0.4990120111399744,0.03141675887226571
0.12009072303771973,0.4985773023946233,0.03769182321008598,0.0,0.0,0.4985773023946233,0.03769182321008598
0.1401078701019287,0.4980638262918214,0.043959355540662624,0.0,0.0,0.4980638262918214,0.043959355540662624
0.16007471084594727,0.4974731523422449,0.050204209969579534,0.0,0.0,0.4974731523422449,0.050204209969579534
0.1800379753112793,0.4968043087085167,0.05644004649761406,3.2e-05,0.0,0.49677230870851674,0.05644004649761406
0.2001802921295166,0.4960502485445449,0.06272281019609392,3.2e-05,0.0,0.4960182485445449,0.06272281019609392
0.22010231018066406,0.4952262830121215,0.06892698030523403,3.2e-05,0.0,0.49519428301212154,0.06892698030523403
0.2400670051574707,0.49432270963849817,0.07513360590077532,3.2e-05,0.0,0.4942907096384982,0.07513360590077532
0.260875940322876,0.49329814211714107,0.08159009121074004,9.599999986892801e-05,4.095999997203797e-09,0.49320214211727215,0.08159008711474004
0.29173803329467773,0.49162336747840973,0.09113980770875317,9.599999986892801e-05,4.095999997203797e-09,0.4915273674785408,0.09113980361275317
0.3003652095794678,0.4911221134310935,0.09380335654429495,9.599999986892801e-05,4.095999997203797e-09,0.4910261134312246,0.09380335244829495
0.32005858421325684,0.4899238502432756,0.09987302419975295,9.599999986892801e-05,4.095999997203797e-09,0.4898278502434067,0.09987302010375296
0.34008336067199707,0.48862850895982773,0.10602914802871682,0.00019199999809945602,2.2527999883957593e-08,0.4884365089617283,0.10602912550071694
0.3600757122039795,0.4872581014070617,0.11215856014226261,0.00019199999809945602,2.2527999883957593e-08,0.4870661014089623,0.11215853761426273
0.3800787925720215,0.4858100117038048,0.11827354957195237,0.00019199999809945602,2.2527999883957593e-08,0.48561801170570534,0.11827352704395248
0.4000535011291504,0.484287400342043,0.12436122333728389,0.00019199999809945602,2.2527999883957593e-08,0.48409540034394355,0.124361200809284
0.420029878616333,0.48268837090517724,0.13042981481588498,0.0003199999886622721,7.167999867599805e-08,0.48236837091651497,0.1304297431358863
0.4400918483734131,0.48100595895917114,0.1365037268566985,0.0003199999886622721,7.167999867599805e-08,0.48068595897050886,0.13650365517669982
0.46010279655456543,0.4792516889572795,0.1425405859101015,0.0003199999886622721,7.167999867599805e-08,0.4789316889686172,0.1425405142301028
0.4800901412963867,0.47742385976917,0.14854783109526665,0.0003199999886622721,7.167999867599805e-08,0.47710385978050773,0.14854775941526796
0.500054121017456,0.4755230037743918,0.15452466754981153,0.0003199999886622721,7.167999867599805e-08,0.4752030037857295,0.15452459586981285
0.5200557708740234,0.4735435289739225,0.16048839885463323,0.0004799999558942733,1.7407999168549154e-07,0.47306352901802823,0.16048822477464156
0.5400948524475098,0.47148534949429516,0.16643787192896434,0.0004799999558942733,1.7407999168549154e-07,0.4710053495384009,0.16643769784897267
0.5601036548614502,0.4693557048327703,0.17235203027795587,0.0004799999558942733,1.7407999168549154e-07,0.468875704876876,0.1723518561979642
0.5800490379333496,0.46715898022455093,0.17822033328315157,0.0004799999558942733,1.7407999168549154e-07,0.4666789802686567,0.1782201592031599
0.6000277996063232,0.46488502785599156,0.18407039652082563,0.0006719998674206802,3.583999633739408e-07,0.4642130279885709,0.18407003812086226
0.6264393329620361,0.4617665356642376,0.19175939752890442,0.0006719998674206802,3.583999633739408e-07,0.4610945357968169,0.19175903912894104
0.640068531036377,0.4601074971143896,0.19570664551601716,0.0006719998674206802,3.583999633739408e-07,0.4594354972469689,0.19570628711605378
0.6668241024017334,0.45675260943493795,0.203413504405128,0.0006719998674206802,3.583999633739408e-07,0.4560806095675173,0.20341314600516464
0.680056095123291,0.45504568260073675,0.20720382898592765,0.0006719998674206802,3.583999633739408e-07,0.4543736827333161,0.20720347058596428
0.7000887393951416,0.4524016555256039,0.21291487049450727,0.0008959996651110786,6.594558727392338e-07,0.45150565586049285,0.21291421103863453
0.7200846672058105,0.4496909983101841,0.21858180628494683,0.0008959996651110786,6.594558727392338e-07,0.44879499864507305,0.2185811468290741
0.7400875091552734,0.4469083845330224,0.22421618102644644,0.0008959996651110786,6.594558727392338e-07,0.44601238486791134,0.2242155215705737
